trial_number,cost,winkler,pinball,is_on_front,is_selected,subsample,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,min_data_per_group,cat_smooth,colsample_bytree,reg_alpha,reg_lambda,max_bin
32,23.23111507319707,62.033434567708326,23.23111507319707,False,False,0.8637272738193768,2915,0.10088116820401608,10,4,10,98,40.46808859374457,0.7042337829531921,1.7342784566237704e-06,7.832890108748574e-08,252
33,29.24770897915399,81.65811777657918,29.24770897915399,False,False,0.9937687022709294,128,0.2558544522509696,12,51,49,289,15.453066404195942,0.8700016539754745,2.2071161848093857e-07,5.400666519662715e-05,250
34,24.184951554725558,64.05618074285597,24.184951554725558,False,False,0.8776864724981934,2946,0.017835192150375583,9,4,20,169,42.66979856809107,0.9667419125840879,0.0691371752045686,7.82586923716128e-08,255
35,27.737901948446183,72.34848104411334,27.737901948446183,False,False,0.8967898444526509,2305,0.15663347878171788,7,847,4,119,24.712603387588334,0.1310557735225964,5.958551875938879e-07,0.16700790356146486,110
36,23.691147423339576,64.61489642548501,23.691147423339576,False,False,0.8629183331377964,2854,0.06364293869052924,10,7,17,62,39.025721893383334,0.6299552662118754,0.0761337201791594,2.6282240359813057e-07,221
37,24.79826008073053,65.47818635150064,24.79826008073053,False,False,0.8694703813225482,2884,0.1193768367093836,11,4,3,40,37.890156384848304,0.9593831135580309,0.0007563647672525705,6.933921043211008e-07,137
38,28.597432247235535,75.47115977244628,28.597432247235535,False,False,0.9995094071643619,578,0.1546746230528333,9,97,81,276,8.604200892085323,0.18405283619360469,0.2960206554730176,0.017840044379295886,132
39,28.37843304481404,72.49741949018974,28.37843304481404,False,False,0.9961115900678781,2082,0.03413211599601564,8,2,81,453,25.823126315820275,0.1826226282231756,1.9686479488206233e-06,5.346993494019944e-05,110
40,26.89158918057171,70.15430924777893,26.89158918057171,False,False,0.8521411070882763,2908,0.14755938706103572,10,2,16,102,24.774255791499314,0.7497078060275596,0.43407459167946055,1.181789749970191e-08,233
41,27.9444755872501,75.33684330282792,27.9444755872501,False,False,0.9920450177520073,1143,0.2637459555190643,6,355,13,170,24.074366064160287,0.38650643692285824,1.4256432228176923,5.484611450833784e-07,31
42,25.720072022051802,72.73977796704756,25.720072022051802,False,False,0.9966352709737685,2277,0.03152205340966428,10,45,60,144,37.75663283784306,0.8839006919357009,1.583996844005255e-08,67.37498221454771,153
43,28.968397305932225,86.0875715651404,28.968397305932225,False,False,0.948317725185994,1392,0.00877971216620043,12,189,3,381,17.79887026224236,0.9590130957529683,0.26485164343386547,2.2052376363101616e-07,202
44,24.119199229113242,62.133130436701464,24.119199229113242,False,False,0.8556018835816579,2572,0.05413665569061533,10,2,17,90,47.09860621755949,0.930969481101789,0.00654140388852898,1.0204108580384744e-05,234
45,27.716190478834342,77.18248689375099,27.716190478834342,False,False,0.8540210095501869,146,0.15692841013315076,10,12,4,227,17.266180227486963,0.6865761994003009,3.9679026075235904e-06,0.044847417029770166,172
46,29.063634446959995,90.0167568743948,29.063634446959995,False,False,0.9385674335312254,734,0.013344263975397265,12,4,78,376,7.301179804430319,0.6925653272598192,22.947087456230314,0.21123099533468068,241
47,29.0133692734852,91.62489796077043,29.0133692734852,False,False,0.9385020817022507,558,0.0068314585872228635,12,2,93,429,45.601701872844814,0.8459138144223876,8.084801586602446e-07,1.9728216021487832e-06,208
48,28.905729499719012,83.15234230760579,28.905729499719012,False,False,0.8858555599615426,2928,0.015722652857641312,6,8,8,228,6.4217212511380595,0.979965237331213,6.566944080954504e-08,2.805865087531875,89
49,29.133883343813956,79.83101929869174,29.133883343813956,False,False,0.9983907244460768,2478,0.005788563863986073,7,124,1,174,14.991216433245851,0.2833978212985697,3.1708402230087935e-07,7.827248373410037e-07,235
50,23.51960167567235,62.90354914461798,23.51960167567235,False,False,0.8708019104824859,2296,0.11759997531596188,11,8,2,56,49.78974070723071,0.8163320751031417,0.24294196255929026,2.7544850991306707e-08,243
51,27.86212712039377,77.22613849034684,27.86212712039377,False,False,0.8766393855082426,2075,0.06293753116703364,9,66,88,404,19.010504911097136,0.8829896984535154,0.00019458984424343225,12.354652817755953,226
52,23.622980819677977,62.91724884043933,23.622980819677977,False,False,0.9066098036781766,2907,0.07764478066267706,9,3,7,74,36.59525172671673,0.6735179308462926,9.3036768473586e-05,1.6135927297008046e-08,240
53,29.820174255532894,87.25565468714412,29.820174255532894,False,False,0.9926090253863529,2995,0.05577000764955594,11,57,15,78,9.520110527356335,0.9917060002485953,6.639735425076381,0.11173516488859037,84
54,28.65493621944507,87.15558163162927,28.65493621944507,False,False,0.8924850253140332,619,0.008660645780398265,6,508,36,403,40.62478569858308,0.11333982292381145,7.83514455540128,0.0009554509213697914,124
55,29.020718685949756,80.9798486177216,29.020718685949756,False,False,0.8786141159787981,355,0.0960521503454538,11,11,76,493,6.376471916852829,0.7548638901937232,4.974691945678274e-08,3.346059745829831e-08,48
56,28.985416961036787,81.30289684744943,28.985416961036787,False,False,0.97217961499009,2272,0.005489234952109383,6,925,4,410,41.08798579000728,0.8183637378761608,4.3148378577356514e-07,0.00045492695526491256,58
57,30.64869792013727,97.31768190793788,30.64869792013727,False,False,0.8824665761929114,122,0.041349655238297554,6,4,63,371,13.816583937902308,0.25137757784221315,0.0012896306200780806,0.0003467426766804919,228
58,27.362875667238516,75.22823964905524,27.362875667238516,False,False,0.9050942459728983,1032,0.009139388910788965,12,93,86,476,25.190328234744484,0.13996483510348295,1.1601708456219042e-08,0.8180932610932286,172
59,28.918435249219428,91.73201227354011,28.918435249219428,False,False,0.9481528744365818,697,0.006208687673061626,8,353,72,12,0.6729707405246934,0.3482326350455384,0.0013794070904473842,4.691549202004459e-08,169
