trial_number,run_id,cost,complexity,n_estimators,learning_rate,max_depth,is_on_front,is_selected,pinball,winkler
408,b6eb437eca9842a0a3afcdfa37961538,15.301654108103614,152.32,595,0.26487326352428686,11,False,False,15.301654108103614,152.32
314,9ab876d6ed0d44d6809bc428eb395c23,15.310154660038165,22.016,344,0.22752957042255328,6,True,False,15.310154660038165,22.016
238,2726c516fa7044a3a53ad5c0e41a18a4,15.314867722191575,116.672,1823,0.011047783877660996,6,False,False,15.314867722191575,116.672
214,87cf29488f7b4b33b5aa2dc043ff8e9d,15.328508360278127,710.144,2774,0.19623155044512425,12,False,False,15.328508360278127,710.144
142,3fe0224aa228492f8db5bb9e4b57fe67,15.341269348931434,145.856,2279,0.0480052974359143,6,False,False,15.341269348931434,145.856
266,070705173a0f460ca3e93c6126223b06,15.385022936013554,768.0,3000,0.1848404955802173,12,False,False,15.385022936013554,768.0
254,e49490e671e94916bd99dda21d172eb2,15.412690657780367,644.352,2517,0.05050257353277604,12,False,False,15.412690657780367,644.352
156,6f261bcbe1ca4dd1924b48bb7fa5d37a,15.416451380175674,174.528,2727,0.06672023184483881,6,False,False,15.416451380175674,174.528
192,d992c2b1c4ae413d81ad87390e3c4177,15.433622380415732,24.576,96,0.3,12,False,False,15.433622380415732,24.576
311,36ccb8c275ce40b5bc62968350f550f0,15.4711196602282,768.0,3000,0.16223553635550814,12,False,False,15.4711196602282,768.0
144,daa47c0d6d634041994ba35166296554,15.48058308978448,714.496,2791,0.1505391930649885,12,False,False,15.48058308978448,714.496
405,df658482c7cb4a7e92f34b3e84a616f5,15.483535739866943,258.304,1009,0.09915626115435812,10,False,False,15.483535739866943,258.304
418,c838aa0320ed450ab63ab5d3ff58f0d2,15.483535739866943,258.304,1009,0.09915626115435812,10,False,False,15.483535739866943,258.304
236,6f043803c43e4951a9e007a5090934c7,15.485163342227546,88.576,346,0.02090903026123315,12,False,False,15.485163342227546,88.576
146,aea8a4ae6b3d41a5b64e2e16ec8006d1,15.52965148731067,106.048,1657,0.05741030538456145,6,False,False,15.52965148731067,106.048
120,e45c6a0ef83f409d90308446363ae588,15.544109182965853,216.32,845,0.03572910397942786,12,False,False,15.544109182965853,216.32
178,9b0a7daaf8754b7abda9cf875c769ef4,15.552875889185023,410.368,1603,0.04419560459826261,12,False,False,15.552875889185023,410.368
