trial_number,cost,winkler,pinball,is_on_front,is_selected,n_estimators,learning_rate,max_depth,l2_leaf_reg,border_count,one_hot_max_size,random_strength,bagging_temperature
42,25.240124954835547,65.22814507051969,25.240124954835547,False,False,2291,0.021686588430546175,5,71.78670984654939,196,207,2.213198861239335,6.0748894786578775
43,24.83475970417842,66.10440214282036,24.83475970417842,False,False,2057,0.00726314143991935,4,4.2818160106875744,186,207,1.117357531778187,6.46575297524166
44,25.69439716100699,69.64669776193008,25.69439716100699,False,False,453,0.29854071010205274,7,0.7027170547345625,247,140,4.124721353236961,5.587288007031992
45,25.79428286214189,70.76642235905204,25.79428286214189,False,False,2275,0.06786408350783057,7,0.01543800779217195,73,39,7.4070746387973285,7.2325825527086645
46,23.767954907350127,65.59287907429453,23.767954907350127,True,True,2623,0.16920531526038216,5,67.44524693491549,216,159,2.481823591390211,1.576909574308876
47,25.273124911149747,67.014552004573,25.273124911149747,False,False,2226,0.12824729997281858,5,17.272662050355745,225,156,5.21728962228441,3.9605329349264213
48,24.980971394959607,66.38439434738102,24.980971394959607,False,False,2828,0.04481835863092834,6,17.40314401540804,185,116,2.6490228208946633,3.27521180745184
49,24.46549419909488,66.60758573037508,24.46549419909488,False,False,2416,0.13001326513530706,5,98.59378203688857,203,147,5.576058680598146,0.5551085578510759
50,25.496434651717166,65.52048650850574,25.496434651717166,False,False,2404,0.07238429498032253,4,11.096396298827779,206,167,1.5697635003788717,0.3000227121372412
51,24.314000319861186,66.27839180403826,24.314000319861186,False,False,2633,0.16107401399689164,5,84.55169883376274,236,130,2.663785120395124,4.471411277521178
52,23.882196561431787,65.23917247961539,23.882196561431787,True,False,2912,0.21448590047067587,5,28.906491680729278,248,137,2.1666337045987807,1.2240570526440349
53,24.144493751435004,65.82774252231755,24.144493751435004,False,False,2836,0.08964314924578747,6,35.92865512983132,238,133,2.8737990023604887,1.56358878684738
54,24.40097322199721,65.78696587267953,24.40097322199721,False,False,2814,0.276727836010445,5,13.206879440957138,245,179,1.2981167689961288,0.4203605459638592
55,26.610362312199285,70.68450428688635,26.610362312199285,False,False,1306,0.010038583162214672,4,87.29116191861065,152,233,8.27533116653657,9.202386260413284
56,28.37209656321028,82.66042105614956,28.37209656321028,False,False,1192,0.005021036660437415,9,0.010856663389345692,82,191,4.015446799691508,1.9413933271672845
57,29.067782466856627,80.06493858458661,29.067782466856627,False,False,194,0.08508059133309276,10,6.298516048917944,101,243,4.8857010193370325,6.21859924352287
58,27.97822161384429,76.7254608868631,27.97822161384429,False,False,2663,0.014448909840120384,9,0.10909808492855186,173,147,9.745808762403065,6.059528592302032
59,24.77329555271502,67.7792784217965,24.77329555271502,False,False,2618,0.09534374073016867,7,0.011497442051832734,239,122,1.81166643821388,8.305018063246266
